Position(bp)	Rate(cM/Mb)	Map(cM)	Filtered
   111955	0.169712855144	0.0	0
   116433	0.169820281941	0.000759973692655	0
   122217	0.171474654627	0.00174221557847	0
   126070	0.177447584584	0.00240290757314	0
   126402	0.183936163171	0.00246181828051	0
   128168	0.185526079778	0.00278665113459	0
   129166	0.187008569587	0.00297180551765	0
   135331	0.187008569587	0.00412471420857	0
   135656	0.187008569587	0.00418549199368	0
   135708	0.187051540306	0.00419521626742	0
   135853	0.187051540306	0.00422233723679	0
   140722	0.187201937823	0.00513309088575	0
   143253	0.187073025666	0.00560689892592	0
   148325	0.187395306059	0.00655573537469	0
   148576	0.187481247498	0.00660277112384	0
   151518	0.192315453398	0.00715434112586	0
   151929	0.195516771972	0.0072333814666	0
   154552	0.221170291284	0.00774622195948	0
   157314	0.709038350753	0.00835709585095	0
   158202	0.970987854476	0.00898672001571	0
   158946	1.52756609381	0.00970913515132	0
   158971	2.10391086394	0.00974732537793	0
   159076	2.47466222846	0.00996823569637	0
   159404	2.56242992225	0.0107799246495	0
   159411	2.65015464532	0.0107978627762	0
   161960	2.44842860444	0.0175531069026	0
   162102	2.25001130893	0.017900782991	0
   162845	0.28251099282	0.0195725416299	0
   173835	0.278106494111	0.0226773372261	0
   177393	0.276752916458	0.0236668411635	0
   178434	0.274797748739	0.0239549404983	0
   178499	0.27181128376	0.0239728012777	0
   185171	0.206323907829	0.0257863267645	0
   185358	0.141781887719	0.0258249101732	0
   186795	0.108672948641	0.0260286493923	0
   187565	0.0899377151071	0.0261123284222	0
   188805	0.0741030051134	0.0262238503295	0
   203471	0.0741030051134	0.0273106464205	0
   214721	0.0741030051134	0.0281443041538	0
   215665	0.0741030051134	0.028214258336	0
   217081	0.0741030051134	0.0283191863864	0
   218336	0.0741030051134	0.0284121857653	0
   228646	0.0741030051134	0.0291761879628	0
   230625	0.0741030051134	0.029322838433	0
   235327	0.0741030051134	0.029671270806	0
   246933	0.0741030051134	0.0305313104123	0
   248285	0.0741030051134	0.0306314966439	0
   252693	0.0741030051134	0.0309581428623	0
   255319	0.0741030051134	0.0311527379124	0
   260044	0.0741244904729	0.0315028740744	0
   261145	0.0741459758325	0.0315844862127	0
   261795	0.0741459758325	0.0316326800227	0
   268264	0.0741889465516	0.0321123299322	0
   272227	0.0742104319112	0.0324063420379	0
   273202	0.0742104319112	0.0324786961348	0
   273344	0.0742104319112	0.0324892347037	0
   279248	0.0742534026303	0.0329273727499	0
   280141	0.0742534026303	0.0329936808666	0
   281247	0.0742534026303	0.0330758065049	0
   282211	0.0742534026303	0.0331473849803	0
   289850	0.0742534026303	0.0337146070668	0
   291134	0.0742534026303	0.0338099483498	0
   294953	0.101110102077	0.0340935228679	0
   295334	0.140707619741	0.0341320461176	0
   295575	0.189200076262	0.0341659564606	0
   297633	0.410391852905	0.0345553291862	0
   307391	0.410477794344	0.0385599337893	0
   307807	0.411100869771	0.0387306929814	0
   308491	0.411315723366	0.0390118847732	0
   310225	0.411466120883	0.0397251063234	0
   313304	0.411466120883	0.0409920120351	0
   313504	0.411466120883	0.0410743052593	0
   315644	0.411466120883	0.0419548418985	0
   317501	0.411337208726	0.0427189343346	0
   318677	0.411079384411	0.0432026664624	0
   319061	0.410928986894	0.0433605215476	0
   320954	0.410800074737	0.044138409733	0
   321617	0.410714133299	0.044410771042	0
   323283	0.410714133299	0.0450950195849	0
   325134	0.410714133299	0.0458552532504	0
   325841	0.410714133299	0.0461456278848	0
   326214	0.410714133299	0.0462988227955	0
   326894	0.410714133299	0.0465781088359	0
   327780	0.410757104018	0.0469420020736	0
   329493	0.410821560096	0.0476456282623	0
   329581	0.410585221141	0.0476817816768	0
   330701	0.410585221141	0.0481416371245	0
   331398	0.410198484669	0.0484278135197	0
   332199	0.409274614208	0.0487563826778	0
   334063	0.405364278769	0.0495192719337	0
   334799	0.397135386058	0.0498176197851	0
   335956	0.352445838179	0.0502771056846	0
   336607	0.279760866797	0.0505065478393	0
   337670	0.181336434664	0.0508039331465	0
   338553	0.0954164817943	0.0509640527886	0
   340110	0.0430781459125	0.0511126176044	0
   346300	0.0430781459125	0.0513792702533	0
   353306	0.0431426019912	0.051681075099	0
   357599	0.236704206244	0.0518662874925	0
   358143	0.362479501092	0.0519950535494	0
   359078	0.457530731774	0.0523339722052	0
   363463	0.458562029033	0.0543402450012	0
   363767	0.458562029033	0.0544796484596	0
   364707	0.459442928775	0.0549106963372	0
   367055	0.461935230483	0.0559894676464	0
   370400	0.462644247349	0.0575346409924	0
   373048	0.46305246918	0.0587597233031	0
   374748	0.463224352057	0.0595469125007	0
   377161	0.463310293495	0.060664673292	0
   380594	0.463353264214	0.0622552172717	0
   384307	0.463353264214	0.0639756466956	0
   385140	0.463632573888	0.0643616204374	0
   387060	0.463890398203	0.0652517954089	0
   389817	0.464406046833	0.0665307415161	0
   397754	0.464449017552	0.0702167311281	0
   402317	0.464749812585	0.0723360126183	0
   406357	0.464835754024	0.0742136031502	0
   406942	0.465308431934	0.0744855304549	0
   407584	0.46646864135	0.0747842585971	0
   408308	0.466984289979	0.075121982667	0
   409516	0.467972616519	0.075686100119	0
   411928	0.516336160883	0.0768148485231	0
   412449	0.589235985861	0.0770838602645	0
   412818	0.551550665197	0.0773012878061	0
   413010	0.514853671073	0.0774071869948	0
   413440	0.470873140059	0.0776285742882	0
   415242	0.463890398203	0.0784770869991	0
   415474	0.459550355573	0.0785847093137	0
   417356	0.458433116876	0.0794495831258	0
   418544	0.456886170987	0.079994202614	0
   420792	0.454952488627	0.0810212822967	0
   422146	0.455425166538	0.081637286892	0
   423211	0.46743548253	0.082122314587	0
   423555	0.447024390951	0.0822831131664	0
   423671	0.420468486538	0.0823349680817	0
   424130	0.3961040888	0.0825279624725	0
   424398	0.371567808185	0.0826341194855	0
   425667	0.321098698585	0.0831056393349	0
   426966	0.296626874049	0.0835227453627	0
   429932	0.304404574209	0.084402540757	0
   429977	0.310141165211	0.0844162398223	0
   429980	0.319680664854	0.0844171701384	0
   431161	1.87270690974	0.084794713025	0
   431732	0.850884694551	0.0858640286275	0
   431970	0.2436869481	0.086066538884	0
   432608	0.234147448456	0.0862220112429	0
   434314	0.204325769391	0.0866214670478	0
   434636	0.180326622765	0.0866872595158	0
   436735	0.114001317811	0.0870657649466	0
   442599	0.112024664732	0.087734269018	0
   445061	0.111702384339	0.0880100722816	0
   453567	0.112389915845	0.0889602128917	0
   455338	0.187674615734	0.0891592554111	0
   455766	0.363833078744	0.0892395805764	0
   459940	0.587022993826	0.0907582195033	0
   462298	0.590589563513	0.0921424202384	0
   462885	0.593404145615	0.0924890972575	0
   462893	0.596605464189	0.0924938433734	0
   463246	0.596605464189	0.0927044450164	0
   463488	0.588462512917	0.092848824484	0
   466323	0.552431564939	0.0945171153859	0
   466396	0.521471161817	0.0945574434058	0
   468047	0.502327706451	0.0954183918427	0
   468133	0.480906802973	0.0954615924552	0
   468599	0.45385673529	0.0956856954981	0
   470725	0.376058248333	0.0966505944016	0
   471881	0.220181964744	0.0970853162757	0
   483590	0.216937675451	0.0996634283619	0
   487973	0.215412214922	0.100614265098	0
   491349	0.21259763282	0.101341497251	0
   495452	0.211845645236	0.102213785661	0
   499434	0.211308511247	0.10305735459	0
   517942	0.211480394123	0.106968252946	0
   521431	0.211480394123	0.107706107461	0
   521723	0.211480394123	0.107767860682	0
   527688	0.211480394123	0.10902934134	0
   530644	0.211480394123	0.109654477213	0
   539276	0.211480394123	0.111479976491	0
   539316	0.211480394123	0.111488435277	0
   544349	0.211523364842	0.112552815692	0
   547567	0.211523364842	0.113233497665	0
   547715	0.211523364842	0.113264803983	0
   548089	0.211566335561	0.113343913077	0
   548917	0.211566335561	0.113519089659	0
   552355	0.211566335561	0.114246455021	0
   553407	0.21212495491	0.114469021861	0
   554186	0.21212495491	0.11463426791	0
   555514	0.21212495491	0.114915968905	0
   555573	0.212146440269	0.114928486275	0
   556129	0.211716733078	0.11504643875	0
   561952	0.211716733078	0.116279264385	0
   565119	0.211716733078	0.11694977304	0
   565531	0.211716733078	0.117036999303	0
   566195	0.211566335561	0.117177580159	0
   568081	0.211566335561	0.117576593366	0
   570172	0.211566335561	0.118018979067	0
   572701	0.211566335561	0.118554028976	0
   574369	0.211566335561	0.11890692171	0
   574487	0.211566335561	0.118931887698	0
   579869	0.211394452685	0.120070536556	0
   587382	0.211329996606	0.121658742928	0
   588126	0.211265540528	0.12181597279	0
   588406	0.211265540528	0.12187512843	0
   592283	0.211265540528	0.12269420405	0
   595504	0.211265540528	0.123374690506	0
   601031	0.383878919212	0.124542355342	0
