chr	pos	rate	map
chr17	6888	0.028504	0.0
chr17	38924	0.09609	0.000913
chr17	43474	0.066522	0.00135
chr17	52467	0.068701	0.001949
chr17	60532	0.393303	0.002503
chr17	69854	0.119592	0.006169
chr17	73263	0.138823	0.006577
chr17	83173	1.72858	0.007952
chr17	83196	0.445952	0.007992
chr17	84782	0.411147	0.0087
chr17	86802	0.5807	0.00953
chr17	88525	3.523285	0.010531
chr17	88813	4.572466	0.011545
chr17	88988	1.625847	0.012345
chr17	95631	2.207045	0.023146
chr17	103469	3.106022	0.040445
chr17	108420	0.264491	0.055823
chr17	109700	0.526028	0.056161
chr17	110025	9.215702	0.056332
chr17	110579	0.560334	0.061438
chr17	111030	37.888051	0.06169
chr17	113034	1.339661	0.137618
chr17	113390	20.240794	0.138095
chr17	113794	28.74836	0.146272
chr17	114669	4.21553	0.171427
chr17	126701	0.604539	0.222148
chr17	128389	3.694026	0.223169
chr17	132994	4.61078	0.24018
chr17	135310	2.46928	0.250858
chr17	141035	2.737868	0.264995
chr17	143496	16.668941	0.271733
chr17	146428	21.682038	0.320606
chr17	147758	9.170199	0.349443
chr17	152362	1.062392	0.391663
chr17	155494	1.783763	0.39499
chr17	159851	0.238301	0.402762
chr17	163278	6.089398	0.403579
chr17	172683	3.674305	0.46085
chr17	173906	1.436851	0.465343
chr17	174121	0.519705	0.465652
chr17	175563	3.16526	0.466402
chr17	179396	11.263986	0.478534
chr17	181082	1.187621	0.497525
chr17	182504	28.337042	0.499214
chr17	185083	1.090883	0.572295
chr17	185918	1.056573	0.573206
chr17	186256	18.946771	0.573563
chr17	188593	0.726533	0.617842
chr17	193188	0.185601	0.62118
chr17	198698	4.207881	0.622203
chr17	204759	3.037247	0.647707
chr17	210420	9.539073	0.664901
chr17	212731	4.698019	0.686946
chr17	214402	6.098722	0.694796
chr17	216763	1.468463	0.709195
chr17	218145	0.910087	0.711224
chr17	221026	0.50619	0.713846
chr17	228677	1.287552	0.717719
chr17	228978	1.99564	0.718107
chr17	229223	2.461299	0.718596
chr17	230058	1.922132	0.720651
chr17	237667	4.893337	0.735276
chr17	238193	3.359191	0.73785
chr17	241835	0.328129	0.750084
chr17	245185	0.195956	0.751184
chr17	257557	1.250495	0.753608
chr17	270933	5.838144	0.770335
chr17	284265	1.531925	0.848169
chr17	284625	1.291125	0.84872
chr17	285277	1.34845	0.849562
chr17	285476	2.35283	0.84983
chr17	285990	1.71624	0.85104
chr17	287362	1.49561	0.853394
chr17	288148	0.102343	0.85457
chr17	398107	0.485103	0.865824
chr17	399878	0.339044	0.866683
chr17	400959	0.175498	0.867049
chr17	404617	0.722583	0.867691
chr17	405221	7.280116	0.868128
chr17	407704	0.151058	0.886204
chr17	420467	0.163071	0.888132
chr17	423051	0.096121	0.888554
chr17	430245	0.115582	0.889245
chr17	434610	0.092349	0.88975
chr17	440487	0.414067	0.890292
chr17	441275	0.776722	0.890619
chr17	452690	0.725837	0.899485
chr17	452898	3.488874	0.899636
chr17	455814	0.850301	0.909809
chr17	462323	1.638826	0.915344
chr17	463843	0.604807	0.917835
chr17	465775	0.141183	0.919003
chr17	477471	0.039628	0.920655
chr17	528868	0.175154	0.922692
chr17	533588	0.154918	0.923518
chr17	536414	0.06005	0.923956
chr17	554080	0.154945	0.925017
chr17	562495	0.17886	0.926321
chr17	569616	1.044875	0.927594
chr17	578180	0.284056	0.936543
chr17	591078	0.095392	0.940206
chr17	598311	0.174359	0.940896
chr17	600257	0.169285	0.941236
chr17	602469	0.085905	0.94161
chr17	609275	0.132028	0.942195
chr17	613501	0.306174	0.942753
chr17	614494	0.153886	0.943057
chr17	619162	1.659435	0.943775
chr17	624676	2.663412	0.952925
chr17	624865	2.543492	0.953429
chr17	629896	0.498416	0.966225
chr17	632425	0.622859	0.967485
chr17	632905	0.777245	0.967784
chr17	633188	0.142881	0.968004
chr17	636822	0.098458	0.968524
chr17	642928	0.409853	0.969125
chr17	643426	0.11921	0.969329
chr17	648498	0.394347	0.969934
chr17	649067	0.700704	0.970158
chr17	649232	0.182132	0.970274
chr17	653818	0.282874	0.971109
chr17	655920	1.766285	0.971703
chr17	667377	2.350132	0.99194
chr17	677226	1.032045	1.015086
chr17	684729	0.96859	1.02283
chr17	685640	0.474472	1.023712
chr17	692520	0.780849	1.026976
chr17	696016	0.503837	1.029706
chr17	698176	51.157846	1.030795
chr17	700020	11.379703	1.12513
chr17	701122	1.436443	1.13767
chr17	706009	19.351136	1.14469
chr17	710317	0.884811	1.228055
chr17	716824	0.687521	1.233812
chr17	719452	0.115369	1.235619
chr17	727132	5.735247	1.236505
chr17	728030	2.85133	1.241655
chr17	728102	0.983478	1.24186
chr17	732073	1.466395	1.245766
chr17	733738	0.794181	1.248207
chr17	733887	0.561547	1.248326
chr17	734347	3.216473	1.248584
chr17	735301	3.320535	1.251653
chr17	735362	18.253585	1.251855
chr17	735768	2.970832	1.259266
chr17	735797	6.020225	1.259352
chr17	736050	56.648308	1.260875
chr17	738187	1.85915	1.381933
chr17	738853	0.301487	1.383171
chr17	745738	0.666566	1.385247
chr17	746832	1.10891	1.385976
chr17	746881	2.774018	1.38603
chr17	754600	13.008997	1.407443
chr17	756111	0.422836	1.4271
chr17	764072	3.02951	1.430466
chr17	768235	29.290775	1.443078
chr17	769467	0.523445	1.479164
chr17	778250	5.272264	1.483761
chr17	781407	10.878278	1.500406
chr17	782416	0.826555	1.511382
chr17	782899	1.154201	1.511781
chr17	782998	1.506785	1.511895
chr17	783049	14.409012	1.511972
chr17	784417	0.926303	1.531684
chr17	784636	0.773531	1.531887
chr17	784963	0.247788	1.53214
chr17	786828	0.465993	1.532602
chr17	787784	5.884873	1.533047
chr17	788762	9.778729	1.538803
chr17	789237	0.387476	1.543448
chr17	796372	0.473232	1.546212
chr17	799847	1.161872	1.547857
chr17	799933	1.997184	1.547957
chr17	800050	6.460155	1.54819
chr17	800568	1.39121	1.551537
chr17	800593	10.298516	1.551571
chr17	804010	1.126325	1.586761
chr17	804058	0.276677	1.586815
chr17	807505	0.308426	1.587769
chr17	809643	2.746852	1.588429
chr17	811142	2.92773	1.592546
chr17	812404	0.493719	1.596241
chr17	812750	0.250669	1.596412
chr17	814320	0.876138	1.596805
chr17	814418	0.753658	1.596891
chr17	814529	5.305454	1.596975
chr17	815668	3.942627	1.603018
chr17	816250	4.156324	1.605312
chr17	817095	1.368525	1.608824
chr17	817116	46.446721	1.608853
chr17	818521	1.02004	1.674111
chr17	820324	54.203022	1.67595
chr17	823823	5.437215	1.865606
chr17	827031	1.624738	1.883049
chr17	828023	2.94878	1.884661
chr17	828226	6.446467	1.885259
chr17	831109	4.883257	1.903844
chr17	831667	8.117773	1.906569
chr17	833184	0.628516	1.918884
chr17	833790	0.371783	1.919265
chr17	835502	0.471533	1.919901
chr17	836541	0.976386	1.920391
chr17	836631	5.535997	1.920479
chr17	837797	6.132207	1.926934
chr17	838175	0.300972	1.929252
chr17	840805	3.776808	1.930044
chr17	843877	40.535403	1.941646
chr17	846481	7.380862	2.0472
chr17	847514	3.27992	2.054825
chr17	847724	7.478986	2.055513
chr17	850226	1.47357	2.074226
chr17	850542	6.587924	2.074691
chr17	853632	1.3634	2.095048
chr17	853694	4.693203	2.095133
chr17	857257	40.734632	2.111855
chr17	861533	1.912175	2.286036
chr17	862249	1.804801	2.287405
chr17	863551	2.584548	2.289755
chr17	865499	6.363077	2.29479
chr17	873571	3.714255	2.346152
chr17	874596	7.504234	2.349959
chr17	877926	0.348229	2.374948
chr17	880653	0.563006	2.375898
chr17	881476	0.928485	2.376361
chr17	891211	1.125744	2.3854
chr17	896190	0.924392	2.391005
chr17	902322	0.122903	2.396674
chr17	907625	0.566889	2.397325
chr17	907907	0.380204	2.397485
chr17	908502	0.548975	2.397712
chr17	908795	0.350088	2.397872
chr17	909653	0.395096	2.398173
