chr	pos	rate	map
chr12	191619	0.0214	0.0
chr12	216039	0.056129	0.000523
chr12	221203	0.068804	0.000812
chr12	225699	0.063685	0.001122
chr12	232123	6.253175	0.001531
chr12	237521	6.294267	0.035286
chr12	239143	0.286521	0.045495
chr12	239787	0.084726	0.045679
chr12	245335	0.684621	0.046149
chr12	245828	3.998288	0.046487
chr12	250239	0.329987	0.064123
chr12	250987	0.107968	0.06437
chr12	255195	1.768021	0.064825
chr12	256220	1.354195	0.066637
chr12	257511	2.167533	0.068385
chr12	257695	0.684076	0.068784
chr12	260682	0.37407	0.070827
chr12	261034	0.211719	0.070959
chr12	261929	2.79838	0.071148
chr12	263954	0.485502	0.076815
chr12	264136	0.092921	0.076903
chr12	269531	3.319995	0.077405
chr12	277464	0.117904	0.103742
chr12	279458	0.431854	0.103977
chr12	279586	0.209195	0.104033
chr12	280349	1.257008	0.104192
chr12	295546	0.866832	0.123295
chr12	295606	0.178821	0.123347
chr12	299043	0.217147	0.123962
chr12	299715	0.143754	0.124108
chr12	301428	0.134758	0.124354
chr12	303320	9.972734	0.124609
chr12	310334	0.399516	0.194557
chr12	310571	0.189587	0.194652
chr12	311949	0.081081	0.194913
chr12	319125	0.731675	0.195495
chr12	327421	13.828135	0.201565
chr12	332362	0.687875	0.26989
chr12	332860	6.36573	0.270233
chr12	334342	0.255594	0.279667
chr12	334955	0.194036	0.279823
chr12	335922	2.556042	0.280011
chr12	338473	0.164741	0.286531
chr12	340535	30.488955	0.286871
chr12	341156	0.795018	0.305805
chr12	341376	0.953947	0.30598
chr12	341392	0.916547	0.305995
chr12	349298	0.126412	0.313241
chr12	351043	0.340958	0.313462
chr12	351323	0.066817	0.313557
chr12	355842	0.067808	0.313859
chr12	360614	0.0681	0.314183
chr12	364453	0.0537	0.314444
chr12	371786	0.058159	0.314838
chr12	377904	0.193864	0.315194
chr12	378729	0.018195	0.315354
chr12	421394	0.101152	0.31613
chr12	427575	0.362702	0.316755
chr12	428131	0.203523	0.316957
chr12	436454	0.074723	0.318651
chr12	487335	1.045554	0.322453
chr12	507789	2.388888	0.343838
chr12	520947	0.153389	0.375271
chr12	526482	0.054718	0.37612
chr12	539038	2.391785	0.376808
chr12	543206	0.100763	0.386777
chr12	547683	2.185591	0.387228
chr12	549268	2.499951	0.390692
chr12	551550	1.897724	0.396397
chr12	564185	1.74669	0.420374
chr12	567046	4.483898	0.425372
chr12	570917	0.913389	0.442729
chr12	570947	0.782998	0.442756
chr12	573870	0.604443	0.445045
chr12	575633	2.653926	0.446111
chr12	584354	2.2119	0.469255
chr12	585827	2.376821	0.472514
chr12	586407	0.109082	0.473892
chr12	590449	0.144016	0.474333
chr12	592524	0.158676	0.474632
chr12	594174	0.310428	0.474894
chr12	594525	0.09341	0.475003
chr12	597722	0.179938	0.475301
chr12	598755	0.65454	0.475487
chr12	603513	2.212208	0.478601
chr12	604621	0.186722	0.481053
chr12	605887	0.211095	0.481289
chr12	607226	0.508436	0.481572
chr12	607480	0.201726	0.481701
chr12	609541	1.068998	0.482117
chr12	609563	0.177893	0.48214
chr12	611594	0.875377	0.482501
chr12	615386	34.434369	0.485821
chr12	617981	0.132785	0.575178
chr12	622926	0.163233	0.575835
chr12	624947	0.850439	0.576165
chr12	624978	0.192687	0.576191
chr12	628236	0.452559	0.576819
chr12	628669	0.970504	0.577015
chr12	628723	32.716072	0.577067
chr12	631550	2.811772	0.669555
chr12	632240	0.844119	0.671495
chr12	632400	1.172897	0.671631
chr12	632645	0.267656	0.671918
chr12	633417	0.28781	0.672125
chr12	634113	0.349603	0.672325
chr12	634584	0.295901	0.67249
chr12	635111	0.742127	0.672645
chr12	635259	0.286655	0.672755
chr12	637363	4.769511	0.673358
chr12	638166	5.861579	0.677188
chr12	644726	0.146197	0.71564
chr12	648237	0.441708	0.716154
chr12	649775	8.20731	0.716833
chr12	657404	0.180227	0.779447
chr12	661031	0.440817	0.7801
chr12	661656	1.426848	0.780376
chr12	661981	1.255439	0.780839
chr12	662448	23.668572	0.781426
chr12	669038	2.03707	0.937402
chr12	669310	23.112103	0.937956
chr12	671670	0.321607	0.9925
chr12	672372	0.312321	0.992726
chr12	673078	0.693805	0.992947
chr12	673245	1.058202	0.993062
chr12	673283	1.238805	0.993103
chr12	673515	0.966505	0.99339
chr12	673788	4.769733	0.993654
chr12	673854	13.703097	0.993969
chr12	675441	0.596223	1.015715
chr12	676116	0.474186	1.016118
chr12	676543	0.203384	1.01632
chr12	677756	27.46723	1.016567
chr12	678210	7.216302	1.029037
chr12	681554	0.45788	1.053169
chr12	681730	0.144383	1.053249
chr12	683946	1.987846	1.053569
chr12	686076	1.204006	1.057803
chr12	688340	0.125868	1.060529
chr12	690473	0.069998	1.060798
chr12	695864	19.990544	1.061175
chr12	696050	0.893636	1.064893
chr12	696078	0.123061	1.064918
chr12	698043	0.255464	1.06516
chr12	698634	0.158389	1.065311
chr12	700675	0.262004	1.065634
chr12	701517	0.063534	1.065855
chr12	708597	2.256596	1.066305
chr12	713285	0.273289	1.076884
chr12	714224	0.077129	1.07714
chr12	721030	0.122109	1.077665
chr12	724279	0.449926	1.078062
chr12	726015	0.445387	1.078843
chr12	727344	0.654711	1.079435
chr12	728710	0.562653	1.080329
chr12	735504	1.069835	1.084152
chr12	737230	0.458226	1.085998
chr12	741219	7.446832	1.087826
chr12	743927	0.18007	1.107992
chr12	751308	0.10109	1.109321
chr12	768874	0.764641	1.111097
chr12	769122	0.283324	1.111287
chr12	770929	0.886722	1.111799
chr12	771045	0.6969	1.111902
chr12	771229	21.902488	1.11203
chr12	771677	2.194939	1.121842
chr12	772458	1.731914	1.123556
chr12	773456	0.798933	1.125285
chr12	776371	1.89925	1.127614
chr12	776471	5.016347	1.127804
chr12	779906	1.550343	1.145035
chr12	783350	1.063023	1.150374
chr12	783484	31.11148	1.150517
chr12	786238	5.886614	1.236198
chr12	788210	0.31729	1.247806
chr12	789630	2.092094	1.248257
chr12	796131	4.605814	1.261857
chr12	801260	4.135014	1.28548
chr12	803488	0.323038	1.294693
chr12	805451	6.84569	1.295327
chr12	813411	0.285957	1.349819
chr12	814882	0.166271	1.35024
chr12	818549	0.099765	1.350849
chr12	825782	0.133371	1.351571
chr12	831883	0.36889	1.352385
chr12	832925	0.3213	1.352769
chr12	833930	0.318357	1.353092
chr12	835074	1.0351	1.353456
chr12	835317	3.67271	1.353708
chr12	835987	3.477984	1.356169
chr12	841006	3.351228	1.373625
chr12	850288	0.57364	1.404731
chr12	854331	33.267237	1.40705
chr12	863517	0.947316	1.712643
chr12	863833	0.489239	1.712942
chr12	865970	0.150872	1.713988
chr12	883178	0.292734	1.716584
chr12	888320	0.798848	1.718089
chr12	888428	0.267052	1.718175
chr12	889902	0.114219	1.718569
chr12	893967	0.113981	1.719033
chr12	898400	0.092932	1.719538
chr12	908283	0.106922	1.720457
chr12	915770	0.453523	1.721257
chr12	916310	0.113458	1.721502
chr12	922408	0.45372	1.722194
