chr	pos	rate	map
chr21	14665973	0.157018	0.0
chr21	14669931	0.019288	0.000621
chr21	14773232	0.07643	0.002614
chr21	14800853	0.182378	0.004725
chr21	14807136	0.102082	0.005871
chr21	14824503	0.042058	0.007644
chr21	14902101	0.039063	0.010907
chr21	14943339	0.502323	0.012518
chr21	14957973	0.499185	0.019869
chr21	14973902	0.119127	0.027821
chr21	15028535	0.383135	0.034329
chr21	15081857	0.735839	0.054759
chr21	15087280	0.287779	0.058749
chr21	15153248	1.94838	0.077733
chr21	15153262	2.502821	0.077761
chr21	15154158	0.511121	0.080003
chr21	15165769	0.834947	0.085938
chr21	15169567	1.541787	0.089109
chr21	15170179	0.40817	0.090052
chr21	15173846	1.873084	0.091549
chr21	15181242	1.938855	0.105403
chr21	15181318	0.642292	0.10555
chr21	15199246	1.376674	0.117065
chr21	15203801	1.720754	0.123336
chr21	15206684	0.614895	0.128297
chr21	15209349	0.468085	0.129935
chr21	15214708	0.664173	0.132444
chr21	15215814	2.420422	0.133178
chr21	15270083	2.705138	0.264532
chr21	15275981	1.76279	0.280487
chr21	15291916	1.496596	0.308577
chr21	15292828	0.861042	0.309942
chr21	15303312	0.505601	0.318969
chr21	15331478	1.233244	0.33321
chr21	15336419	2.5235	0.339303
chr21	15337085	1.775565	0.340984
chr21	15340098	2.578104	0.346334
chr21	15372509	2.984405	0.429893
chr21	15375507	0.285049	0.43884
chr21	15400618	0.278942	0.445998
chr21	15412399	0.924791	0.449284
chr21	15412831	1.565744	0.449684
chr21	15412891	1.270393	0.449778
chr21	15424368	0.78106	0.464358
chr21	15445468	1.087667	0.480838
chr21	15447212	1.041331	0.482735
chr21	15448560	2.19469	0.484139
chr21	15448599	2.32036	0.484224
chr21	15448740	3.705492	0.484552
chr21	15458679	0.933254	0.521381
chr21	15463956	0.900187	0.526305
chr21	15474153	0.32511	0.535485
chr21	15476890	1.114953	0.536374
chr21	15479537	1.454452	0.539326
chr21	15479678	0.509375	0.539531
chr21	15482605	1.608219	0.541022
chr21	15482718	0.317696	0.541203
chr21	15491294	1.300659	0.543928
chr21	15491560	1.332395	0.544274
chr21	15491773	0.1242	0.544558
chr21	15501522	0.484211	0.545769
chr21	15514013	0.325563	0.551817
chr21	15515843	0.75413	0.552413
chr21	15516330	0.964748	0.55278
chr21	15518352	0.568494	0.554731
chr21	15527617	0.287649	0.559998
chr21	15531192	0.124198	0.561026
chr21	15545240	0.243472	0.562771
chr21	15550435	0.546542	0.564036
chr21	15554030	0.499546	0.566
chr21	15580827	2.49557	0.579387
chr21	15588213	5.216087	0.597819
chr21	15594465	1.77774	0.63043
chr21	15594495	0.304046	0.630483
chr21	15596772	0.097331	0.631176
chr21	15609813	1.508497	0.632445
chr21	15611644	2.135523	0.635207
chr21	15612320	0.214223	0.636651
chr21	15615220	0.319109	0.637272
chr21	15616772	0.640338	0.637767
chr21	15620439	0.64561	0.640115
chr21	15630812	0.312088	0.646812
chr21	15634304	0.444788	0.647902
chr21	15635873	0.612847	0.6486
chr21	15641852	0.44801	0.652264
chr21	15645581	6.364135	0.653935
chr21	15646060	1.057274	0.656983
chr21	15648485	0.499891	0.659547
chr21	15649232	0.417697	0.65992
chr21	15650119	0.304553	0.660291
chr21	15652160	2.73582	0.660912
chr21	15656052	2.696834	0.67156
chr21	15658373	0.785995	0.67782
chr21	15659354	0.723602	0.678591
chr21	15660539	0.17847	0.679448
chr21	15664040	1.375124	0.680073
chr21	15666737	0.544922	0.683782
chr21	15667176	0.998437	0.684021
chr21	15671024	0.295845	0.687863
chr21	15672510	0.220098	0.688303
chr21	15675988	0.374555	0.689068
chr21	15677245	0.204921	0.689539
chr21	15684254	0.202596	0.690975
chr21	15692070	0.243024	0.692559
chr21	15697243	1.629113	0.693816
chr21	15698808	0.934762	0.696365
chr21	15705665	0.2506	0.702775
chr21	15711034	0.623394	0.704121
chr21	15711567	0.296912	0.704453
chr21	15714072	0.38909	0.705197
chr21	15715197	0.25019	0.705634
chr21	15719063	0.643112	0.706601
chr21	15720403	1.390879	0.707463
chr21	15720497	1.838741	0.707594
chr21	15722932	2.24913	0.712071
chr21	15725162	3.895535	0.717087
chr21	15725642	2.03142	0.718957
chr21	15725868	5.388705	0.719416
chr21	15726002	18.49171	0.720138
chr21	15728797	0.699739	0.771822
chr21	15729775	0.792256	0.772507
chr21	15730137	0.331613	0.772793
chr21	15732024	0.148472	0.773419
chr21	15740029	0.343491	0.774608
chr21	15749857	0.604225	0.777984
chr21	15754578	1.146349	0.780836
chr21	15755205	0.499057	0.781555
chr21	15764311	1.178532	0.786099
chr21	15765470	0.885267	0.787465
chr21	15765902	2.431464	0.787848
chr21	15766020	2.421459	0.788135
chr21	15766134	1.33139	0.788411
chr21	15768505	0.783685	0.791567
chr21	15774729	0.95688	0.796445
chr21	15774900	0.140349	0.796609
chr21	15784498	0.282002	0.797956
chr21	15787738	0.673321	0.798869
chr21	15788373	1.900465	0.799297
chr21	15790187	1.186364	0.802744
chr21	15813998	3.292545	0.830993
chr21	15818283	0.506764	0.845101
chr21	15821945	1.177312	0.846957
chr21	15822407	0.603886	0.847501
chr21	15824732	0.289936	0.848905
chr21	15830578	0.868672	0.8506
chr21	15831095	7.836805	0.851049
chr21	15833826	8.257335	0.872452
chr21	15845052	3.353807	0.965148
chr21	15845561	1.302274	0.966855
chr21	15849705	2.257284	0.972252
chr21	15849874	0.598944	0.972634
chr21	15852100	0.616618	0.973967
chr21	15854413	0.881442	0.975393
chr21	15855430	1.45104	0.976289
chr21	15856095	2.36633	0.977254
chr21	15856974	5.79181	0.979334
chr21	15858559	2.61935	0.988514
chr21	15858697	0.714214	0.988876
chr21	15860153	0.764746	0.989916
chr21	15861455	1.926125	0.990911
chr21	15862584	68.33275	0.993086
chr21	15864345	5.255055	1.11342
chr21	15865123	4.86957	1.117508
chr21	15866314	1.856805	1.123308
chr21	15867135	5.899335	1.124833
chr21	15867560	18.208177	1.12734
